avg_salary,Rating,Size,Industry,Sector,Revenue,Type of ownership,job_state,hourly,python_yn,R_yn,spark,aws,excel,company_age,job_title_group,job_seniority,sql_yn,tableau_yn
72.0,3.8,501 to 1000 employees,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),Company - Private,NM,0,1,0,0,0,1,47.0,data_scientist,mid,0,1
87.5,3.4,10000+ employees,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),Other Organization,MD,0,1,0,0,0,0,36.0,data_scientist,mid,0,0
85.0,4.8,501 to 1000 employees,Security Services,Business Services,$100 to $500 million (USD),Company - Private,FL,0,1,0,1,0,1,10.0,data_scientist,mid,1,0
76.5,3.8,1001 to 5000 employees,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),Government,WA,0,1,0,0,0,0,55.0,data_scientist,mid,0,0
114.5,2.9,51 to 200 employees,Advertising & Marketing,Business Services,Unknown,Company - Private,NY,0,1,0,0,0,1,22.0,data_scientist,mid,1,0
95.0,3.4,201 to 500 employees,Real Estate,Real Estate,$1 to $2 billion (USD),Company - Public,TX,0,1,0,0,1,1,20.0,data_scientist,mid,1,0
73.5,4.1,501 to 1000 employees,Banks & Credit Unions,Finance,Unknown,Company - Private,MD,0,0,0,0,0,1,12.0,data_scientist,mid,0,0
114.0,3.8,201 to 500 employees,Consulting,Business Services,$25 to $50 million (USD),Company - Private,CA,0,1,0,1,1,1,15.0,data_scientist,mid,1,0
61.0,3.3,10000+ employees,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),Hospital,NY,0,0,0,0,0,0,6.0,research_scientist,mid,0,0
140.0,4.6,51 to 200 employees,Internet,Information Technology,$100 to $500 million (USD),Company - Private,NY,0,1,0,1,0,0,11.0,data_scientist,mid,0,0
163.5,3.5,501 to 1000 employees,Other Retail Stores,Retail,$1 to $2 billion (USD),Company - Private,CA,0,1,0,0,0,0,9.0,data_scientist,mid,0,0
85.0,4.1,5001 to 10000 employees,Research & Development,Business Services,$1 to $2 billion (USD),Company - Public,VA,0,0,0,0,0,0,52.0,data_scientist,mid,1,0
139.0,3.2,10000+ employees,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),Company - Public,TX,0,0,0,0,0,0,58.0,data_scientist,mid,0,0
65.5,4.1,201 to 500 employees,Advertising & Marketing,Business Services,Unknown,Company - Private,WA,0,1,0,1,1,1,8.0,data_analyst,mid,1,1
113.5,3.7,10000+ employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Company - Public,MA,0,1,0,1,0,0,239.0,data_scientist,mid,1,0
146.0,3.6,1001 to 5000 employees,Motion Picture Production & Distribution,Media,Unknown,Subsidiary or Business Segment,NJ,0,0,0,0,0,1,25.0,data_engineer,mid,0,0
102.0,3.9,51 to 200 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),Company - Public,MA,0,0,0,0,0,1,9.0,data_scientist,mid,0,0
153.5,4.3,201 to 500 employees,Enterprise Software & Network Solutions,Information Technology,Unknown,Company - Private,CA,0,1,0,1,1,1,9.0,data_scientist,mid,0,0
142.5,4.2,51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,Unknown,Company - Private,CA,0,0,0,0,0,0,10.0,data_scientist,mid,1,0
87.5,4.0,501 to 1000 employees,Insurance Carriers,Insurance,$500 million to $1 billion (USD),Nonprofit Organization,CO,0,1,0,0,0,1,105.0,data_scientist,mid,1,0
105.5,3.2,201 to 500 employees,Internet,Information Technology,Unknown,Company - Private,WA,0,1,0,1,0,0,8.0,data_scientist,mid,1,0
96.0,3.9,201 to 500 employees,Insurance Agencies & Brokerages,Insurance,Unknown,Company - Private,TX,0,0,0,0,0,1,7.0,machine_learning,senior,0,0
112.5,3.8,501 to 1000 employees,Logistics & Supply Chain,Transportation & Logistics,Unknown,Company - Private,IL,0,1,0,0,1,1,25.0,data_scientist,mid,1,0
84.0,4.3,51 to 200 employees,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),Nonprofit Organization,KY,0,1,0,0,0,1,85.0,data_scientist,mid,1,1
143.0,4.0,501 to 1000 employees,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),Company - Private,VA,0,1,0,0,1,0,8.0,data_scientist,mid,0,0
86.5,4.0,10000+ employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Company - Public,MA,0,1,0,0,1,1,171.0,data_scientist,mid,0,0
99.5,3.5,1001 to 5000 employees,Banks & Credit Unions,Finance,$100 to $500 million (USD),Company - Private,OR,0,1,0,1,1,1,68.0,data_scientist,mid,1,1
47.5,3.7,5001 to 10000 employees,Insurance Carriers,Insurance,$5 to $10 billion (USD),Company - Public,MA,0,0,0,0,0,1,168.0,data_analyst,entry,0,0
84.0,4.0,10000+ employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Company - Public,CT,0,0,0,0,1,1,171.0,data_scientist,mid,0,0
96.0,3.6,1001 to 5000 employees,Real Estate,Real Estate,$500 million to $1 billion (USD),Company - Private,MI,0,1,0,0,0,0,23.0,data_scientist,mid,1,0
114.5,3.8,10000+ employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Company - Public,MA,0,1,0,0,0,0,24.0,machine_learning,mid,0,0
121.0,3.8,5001 to 10000 employees,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),Company - Public,CA,0,1,0,1,0,1,24.0,data_scientist,mid,1,0
112.5,4.7,201 to 500 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,Company - Private,MA,0,1,0,0,0,1,46.0,data_scientist,mid,0,0
106.0,4.2,201 to 500 employees,IT Services,Information Technology,Unknown,Company - Private,CA,0,1,0,0,0,1,12.0,data_analyst,mid,1,1
107.0,3.5,1001 to 5000 employees,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Company - Private,CA,0,1,0,1,1,0,51.0,data_scientist,mid,0,1
110.0,4.7,201 to 500 employees,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),Company - Private,MA,0,1,0,1,0,1,10.0,data_scientist,mid,1,0
147.5,3.5,5001 to 10000 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),Company - Public,CA,0,1,0,0,0,1,150.0,data_scientist,senior,0,0
106.0,3.5,201 to 500 employees,Insurance Carriers,Insurance,$100 to $500 million (USD),Company - Private,NY,0,1,0,0,0,1,35.0,data_engineer,mid,1,0
88.0,4.2,201 to 500 employees,IT Services,Information Technology,$50 to $100 million (USD),Company - Private,CA,0,1,0,0,1,1,12.0,data_analyst,mid,1,1
98.5,3.6,1 to 50 employees,Unknown,Unknown,Less than $1 million (USD),Company - Private,MA,0,0,0,0,0,1,25.0,data_engineer,mid,1,0
