,Rating,Founded,hourly,employer_provided,min_salary,max_salary,avg_salary,same_state,age,python_yn,R_yn,spark,aws,excel
Rating,1.0,0.3329268167431233,-0.019531319499397404,-0.4682339382077595,-0.00782541630933712,0.02766756224873428,0.013491724007338042,0.08503292303607536,0.02165529763486627,0.14466545522963234,-0.004471595747228486,0.15698248032660095,0.11704933235954641,-0.03646586001275075
Founded,0.3329268167431233,1.0,0.049313061166540106,-0.31276107929745667,-0.038513454663825476,0.0010685125151120081,-0.015149202961583973,0.1715117407282748,0.1346816590565462,0.10318262219720284,0.016045184224515813,0.06697791073785672,-0.011123128974656423,-0.035566599592575784
hourly,-0.019531319499397404,0.049313061166540106,1.0,0.1247477071078885,-0.3096741581151606,-0.3795157869607544,-0.35608192462966143,-0.06735132508959595,0.007626063261163183,-0.19348727582270764,-0.009504790235257509,-0.09852982511997911,-0.03031497726884641,-0.09989665182225042
employer_provided,-0.4682339382077595,-0.31276107929745667,0.1247477071078885,1.0,0.16427720039199362,0.014773373167814886,0.07628691328270584,-0.08134910163234403,-0.109288471128155,-0.10792368811923914,-0.00796076117881528,-0.08252390503695727,-0.0006849411021043136,0.07412912631497293
min_salary,-0.00782541630933712,-0.038513454663825476,-0.3096741581151606,0.16427720039199362,1.0,0.9441856888209309,0.9800313501812552,-0.04511416891094132,0.0017053827848246214,0.3394249175219943,-0.04010536469068007,0.1710940953444147,0.1684178367121993,-0.06207412025557996
max_salary,0.02766756224873428,0.0010685125151120081,-0.3795157869607544,0.014773373167814886,0.9441856888209309,1.0,0.9908331951754575,-0.026738066338784876,0.03140300397806625,0.3124434208834721,-0.03901864469609112,0.1762587638488397,0.16949417848034512,-0.05267386940389677
avg_salary,0.013491724007338042,-0.015149202961583973,-0.35608192462966143,0.07628691328270584,0.9800313501812552,0.9908331951754575,1.0,-0.03464092924494746,0.01965507360661454,0.32779587299669155,-0.03999973214346633,0.17655944755155503,0.17137863947398913,-0.05725167883126777
same_state,0.08503292303607536,0.1715117407282748,-0.06735132508959595,-0.08134910163234403,-0.04511416891094132,-0.026738066338784876,-0.03464092924494746,1.0,-0.16667952318314957,0.006974656125801832,-0.058406662012442746,-0.05313936027302473,-0.06506980143799833,0.10602639021717755
age,0.02165529763486627,0.1346816590565462,0.007626063261163183,-0.109288471128155,0.0017053827848246214,0.03140300397806625,0.01965507360661454,-0.16667952318314957,1.0,-0.09915967786748568,-0.01653349242626057,-0.1027882911251643,-0.03308111036332461,0.0390330197638886
python_yn,0.14466545522963234,0.10318262219720284,-0.19348727582270764,-0.10792368811923914,0.3394249175219943,0.3124434208834721,0.32779587299669155,0.006974656125801832,-0.09915967786748568,1.0,0.04912359324324119,0.34761914102534824,0.20322085434197973,-0.02151869556738533
R_yn,-0.004471595747228486,0.016045184224515813,-0.009504790235257509,-0.00796076117881528,-0.04010536469068007,-0.03901864469609112,-0.03999973214346633,-0.058406662012442746,-0.01653349242626057,0.04912359324324119,1.0,-0.02801711748048672,-0.028989935979914984,0.049657506278360956
spark,0.15698248032660095,0.06697791073785672,-0.09852982511997911,-0.08252390503695727,0.1710940953444147,0.1762587638488397,0.17655944755155503,-0.05313936027302473,-0.1027882911251643,0.34761914102534824,-0.02801711748048672,1.0,0.29882207183563353,-0.047333628331416244
aws,0.11704933235954641,-0.011123128974656423,-0.03031497726884641,-0.0006849411021043136,0.1684178367121993,0.16949417848034512,0.17137863947398913,-0.06506980143799833,-0.03308111036332461,0.20322085434197973,-0.028989935979914984,0.29882207183563353,1.0,-0.019235366910684944
excel,-0.03646586001275075,-0.035566599592575784,-0.09989665182225042,0.07412912631497293,-0.06207412025557996,-0.05267386940389677,-0.05725167883126777,0.10602639021717755,0.0390330197638886,-0.02151869556738533,0.049657506278360956,-0.047333628331416244,-0.019235366910684944,1.0
