original_feature,linear_abs_coefficient,random_forest_importance,combined_rank_score
job_state,451.126851152687,0.15497477891001413,5.0
Industry,753.2373106687284,0.09442131283986717,5.0
job_seniority,128.68171380433105,0.19278585072273774,7.0
job_title_group,59.69565569092278,0.2073959775485965,9.0
Revenue,131.8515319437141,0.03940805544505514,12.0
Sector,146.54323845713733,0.030831975515670077,12.0
hourly,5.844325507301141,0.09091213621115127,14.0
Type of ownership,111.4862565869943,0.026780043623420433,16.0
Rating,3.6638681652414573,0.05204763944814112,17.0
Size,72.69045802386509,0.0214048122373502,19.0
python_yn,4.026091755084643,0.023192822900638926,21.0
company_age,0.023138600928723108,0.03961126603726369,25.0
spark,1.6129914430262584,0.006591461405277363,28.0
aws,1.7414341674602571,0.005979974599627323,28.0
tableau_yn,2.681196306361536,0.00480754680673996,28.0
R_yn,2.5471460499642182,7.198165394234929e-05,31.0
excel,0.13305444105728625,0.005134701668983332,32.0
sql_yn,0.780139344854021,0.0036476624255233725,33.0
