feature_name,coefficient,abs_coefficient
categorical__job_state_ID,-44.72752184772367,44.72752184772367
categorical__job_seniority_entry,-39.95682099784859,39.95682099784859
categorical__job_state_LOS ANGELES,37.64032014122891,37.64032014122891
categorical__Industry_Investment Banking & Asset Management,36.15586760510774,36.15586760510774
categorical__Industry_Health Care Products Manufacturing,35.14012387854243,35.14012387854243
categorical__Industry_Religious Organizations,34.7993515018514,34.7993515018514
categorical__Industry_Video Games,-33.02633390285003,33.02633390285003
categorical__Industry_Sporting Goods Stores,-32.55867301934674,32.55867301934674
categorical__Industry_Transportation Equipment Manufacturing,-30.751763588003698,30.751763588003698
categorical__job_state_CA,30.685245594797994,30.685245594797994
categorical__Size_Unknown,30.439446349763177,30.439446349763177
categorical__job_state_DC,29.85128968500854,29.85128968500854
categorical__Industry_Other Retail Stores,29.131043213889797,29.131043213889797
categorical__Industry_TV Broadcast & Cable Networks,29.06888734622325,29.06888734622325
categorical__Industry_Brokerage Services,28.427989922997916,28.427989922997916
categorical__Type of ownership_Unknown,26.30534857532722,26.30534857532722
categorical__Revenue_$5 to $10 million (USD),26.16109161120918,26.16109161120918
categorical__Industry_Food & Beverage Manufacturing,-25.826835821227412,25.826835821227412
categorical__Revenue_Less than $1 million (USD),-25.720140872601977,25.720140872601977
categorical__job_state_GA,-24.540710656682286,24.540710656682286
categorical__job_seniority_mid,-24.38403590431691,24.38403590431691
categorical__job_title_group_data_analyst,-24.369537381243404,24.369537381243404
categorical__Type of ownership_Hospital,-24.368976493851655,24.368976493851655
categorical__Industry_Architectural & Engineering Services,-23.50890390633314,23.50890390633314
categorical__Industry_Financial Transaction Processing,-22.13746164039136,22.13746164039136
categorical__Industry_Gas Stations,-22.130397404588656,22.130397404588656
categorical__Industry_Banks & Credit Unions,-21.656180410693786,21.656180410693786
categorical__job_seniority_director,21.407626527338408,21.407626527338408
categorical__Industry_Social Assistance,-21.27983078507259,21.27983078507259
categorical__job_seniority_lead,20.82049830870197,20.82049830870197
categorical__job_state_KY,19.817259311910448,19.817259311910448
categorical__job_seniority_principal,19.48843614072737,19.48843614072737
categorical__job_state_NM,-18.992774348613036,18.992774348613036
categorical__Industry_Trucking,18.370353719176265,18.370353719176265
categorical__Industry_Staffing & Outsourcing,-17.83076707238945,17.83076707238945
categorical__Industry_Consulting,17.71466495823258,17.71466495823258
categorical__Revenue_$5 to $10 billion (USD),17.388844246617868,17.388844246617868
categorical__Industry_Advertising & Marketing,16.864628146190654,16.864628146190654
categorical__Revenue_$10 to $25 million (USD),-16.679126717600496,16.679126717600496
categorical__job_state_AZ,-16.16098654309304,16.16098654309304
categorical__Industry_Education Training Services,-16.053775108034976,16.053775108034976
categorical__Type of ownership_Government,-16.015367868018167,16.015367868018167
