feature_name,importance
categorical__job_title_group_data_analyst,0.14248983837954188
categorical__job_seniority_mid,0.10489554703568321
categorical__job_state_CA,0.09934088539408688
numerical__hourly,0.09091213621115127
numerical__Rating,0.05204763944814112
categorical__job_title_group_data_scientist,0.0396922297410471
numerical__company_age,0.03961126603726369
categorical__job_seniority_senior,0.029452509923691847
categorical__job_seniority_principal,0.023867514942503328
numerical__python_yn,0.023192822900638926
categorical__job_seniority_entry,0.018100697203965056
categorical__job_state_DC,0.01805772592227073
categorical__Industry_Investment Banking & Asset Management,0.01152234781659818
categorical__Industry_Enterprise Software & Network Solutions,0.011411008958047666
categorical__Type of ownership_Nonprofit Organization,0.010810048707898446
categorical__Industry_Research & Development,0.00972935248136177
categorical__Industry_Consulting,0.009384432648191339
categorical__job_title_group_leadership,0.009091437085949118
categorical__job_seniority_lead,0.009029557094800906
categorical__Industry_Brokerage Services,0.008825526710550511
categorical__job_seniority_director,0.007440024522093389
categorical__Revenue_$500 million to $1 billion (USD),0.007342856086002756
numerical__spark,0.006591461405277363
categorical__Type of ownership_Company - Public,0.006041948407177042
numerical__aws,0.005979974599627323
categorical__job_title_group_data_engineer,0.0058119000018336045
categorical__Sector_Information Technology,0.005540572812465306
categorical__Revenue_$5 to $10 million (USD),0.005539621429219481
categorical__Revenue_$1 to $2 billion (USD),0.00553874738752267
categorical__Industry_IT Services,0.005490806627201083
numerical__excel,0.005134701668983332
categorical__job_state_NY,0.005065648105803177
categorical__Type of ownership_Subsidiary or Business Segment,0.004992129463211607
categorical__job_state_AL,0.004904197831535209
categorical__Industry_Food & Beverage Manufacturing,0.004814241362511051
numerical__tableau_yn,0.00480754680673996
categorical__job_title_group_other,0.004526552851629882
categorical__Sector_Health Care,0.004521674298810608
categorical__Sector_Business Services,0.004468053883009817
categorical__Revenue_$10+ billion (USD),0.0041743414492411614
categorical__Industry_Health Care Services & Hospitals,0.0040248507189461595
categorical__Size_Unknown,0.003943409876651699
categorical__Revenue_$10 to $25 million (USD),0.0038335529572820835
categorical__job_state_MA,0.003721397337731707
categorical__Size_501 to 1000 employees,0.0037200920307035846
numerical__sql_yn,0.0036476624255233725
categorical__job_title_group_machine_learning,0.0034927659390227607
categorical__Sector_Biotech & Pharmaceuticals,0.0034886418961122094
categorical__Industry_Computer Hardware & Software,0.0033814774386486217
categorical__Industry_Biotech & Pharmaceuticals,0.003230316733942999
categorical__Size_10000+ employees,0.0031877643510777815
categorical__Sector_Retail,0.002960324294567783
categorical__Size_1001 to 5000 employees,0.00292120290440844
categorical__Industry_Architectural & Engineering Services,0.0029015095646505594
categorical__Revenue_$100 to $500 million (USD),0.002892757596001794
"categorical__Industry_Department, Clothing, & Shoe Stores",0.0028579388981826927
categorical__job_state_IN,0.0027412764332974287
categorical__Revenue_Unknown,0.002689438860819733
categorical__Size_51 to 200 employees,0.0024975432758023775
categorical__Size_201 to 500 employees,0.0024209857849829125
categorical__job_state_MO,0.0023628495279222426
categorical__Revenue_$5 to $10 billion (USD),0.002335596664772742
categorical__job_title_group_research_scientist,0.0022912535495721565
categorical__Type of ownership_Company - Private,0.0021457947154513548
categorical__Revenue_$50 to $100 million (USD),0.0019910202186849747
categorical__Sector_Finance,0.0019684151155280162
categorical__Industry_Wholesale,0.0017439572865474637
categorical__job_state_TX,0.0016388738423859842
categorical__job_state_AZ,0.001587928212380103
categorical__Industry_Staffing & Outsourcing,0.0015727237149649803
categorical__Size_5001 to 10000 employees,0.0015506939565344668
categorical__job_state_NE,0.00153234406594265
categorical__Revenue_$25 to $50 million (USD),0.0015058656931719455
categorical__Industry_Energy,0.0013957096850688825
categorical__job_state_VA,0.0013650574076555589
categorical__job_state_NJ,0.0013571928638741139
categorical__Type of ownership_Government,0.001297335182278164
categorical__job_state_TN,0.001279174019539475
categorical__Size_1 to 50 employees,0.0011631200571889388
categorical__Sector_Insurance,0.001161709363803063
categorical__job_state_WA,0.00116101771231875
categorical__job_state_RI,0.0011571578090346204
categorical__Industry_Financial Transaction Processing,0.0011322537421201515
categorical__Industry_Advertising & Marketing,0.0011058378037932042
categorical__Industry_Internet,0.0010890468592224675
categorical__Industry_Insurance Carriers,0.001060790281320877
"categorical__Sector_Oil, Gas, Energy & Utilities",0.0010522875908479062
categorical__Type of ownership_Hospital,0.0009964789059748451
categorical__job_state_LA,0.000957570691615152
